hello,hello2,phase,millis
1760023405375,theboxer000,first_to_second,154
1760023459280,theboxer000,start_to_first,202
1760023459463,theboxer000,first_to_second,182
1760023465071,theboxer000,start_to_first,150
1760023465272,theboxer000,first_to_second,201
1760023470275,theboxer000,start_to_first,50
1760023470476,theboxer000,first_to_second,202
1760023475268,theboxer000,start_to_first,202
1760023475468,theboxer000,first_to_second,201
1760023480366,theboxer000,start_to_first,352
1760023480517,theboxer000,first_to_second,151
1760023485470,theboxer000,start_to_first,252
1760023485671,theboxer000,first_to_second,201
1760023488564,theboxer000,start_to_first,337
1760023488716,theboxer000,first_to_second,153
1760023494628,theboxer000,start_to_first,202
1760023494817,theboxer000,first_to_second,189
1760023498929,theboxer000,start_to_first,152
1760023499114,theboxer000,first_to_second,186
1760023503118,theboxer000,first_to_second,204
1760023507727,theboxer000,start_to_first,203
1760023511627,theboxer000,start_to_first,201
1760023511828,theboxer000,first_to_second,202
1760023521221,theboxer000,start_to_first,302
1760023521422,theboxer000,first_to_second,201
1760023527469,theboxer000,start_to_first,252
1760023527673,theboxer000,first_to_second,204
1760023532824,theboxer000,start_to_first,252
1760023533031,theboxer000,first_to_second,208
1760023538068,theboxer000,start_to_first,302
1760023538269,theboxer000,first_to_second,201
1760023545022,theboxer000,start_to_first,301
1760023545225,theboxer000,first_to_second,203
1760023555323,theboxer000,start_to_first,299
1760023555525,theboxer000,first_to_second,202
1760023567316,theboxer000,start_to_first,389
1760023567516,theboxer000,first_to_second,200
1760023578973,theboxer000,start_to_first,203
1760023588479,theboxer000,start_to_first,307
1760023588628,theboxer000,first_to_second,149
1760023598017,theboxer000,start_to_first,303
1760023598219,theboxer000,first_to_second,202
1760023610875,theboxer000,start_to_first,258
1760023624576,theboxer000,start_to_first,252
1760023636615,theboxer000,start_to_first,301
1760023636837,theboxer000,first_to_second,223
1760023649075,theboxer000,start_to_first,101
1760023834468,theboxer000,start_to_first,202
1760023834620,theboxer000,first_to_second,151
1760023837713,theboxer000,start_to_first,234
1760023837914,theboxer000,first_to_second,201
1760023843679,theboxer000,start_to_first,151
1760023843829,theboxer000,first_to_second,150
1760023848465,theboxer000,start_to_first,253
1760023848617,theboxer000,first_to_second,152
1760023857464,theboxer000,start_to_first,195
1760023857666,theboxer000,first_to_second,202
1760023862728,theboxer000,first_to_second,202
1760023867545,theboxer000,start_to_first,102
1760023867675,theboxer000,first_to_second,145
1760023872674,theboxer000,start_to_first,249
1760023872875,theboxer000,first_to_second,201
1760023878665,theboxer000,start_to_first,252
1760023878867,theboxer000,first_to_second,202
1760023884264,theboxer000,start_to_first,252
1760023884415,theboxer000,first_to_second,150
1760023888769,theboxer000,start_to_first,154
1760023888971,theboxer000,first_to_second,202
1760023894963,theboxer000,start_to_first,236
1760023899379,theboxer000,first_to_second,201
1760023902765,theboxer000,start_to_first,390
1760023902967,theboxer000,first_to_second,202
